Date,BND,VXUS,ACB,FB
2013-01-02,71.00113677978516,39.90397262573242,0.06499999761581421,28.0
2013-01-03,70.78954315185547,39.56996536254883,0.06499999761581421,27.770000457763672
2013-01-04,70.89956665039062,39.69522476196289,0.06499999761581421,28.76000022888184
2013-01-07,70.84877014160156,39.52822494506836,0.06499999761581421,29.420000076293945
2013-01-08,70.91645812988281,39.29443359375,0.06499999761581421,29.059999465942386
2013-01-09,70.89111328125,39.519866943359375,0.06499999761581421,30.59000015258789
2013-01-10,70.89111328125,40.012508392333984,0.06499999761581421,31.29999923706055
2013-01-11,70.9418716430664,40.00415802001953,0.06499999761581421,31.71999931335449
2013-01-14,70.9418716430664,40.029212951660156,0.06499999761581421,30.95000076293945
2013-01-15,71.0349349975586,39.90397262573242,0.06499999761581421,30.10000038146973
2013-01-16,71.0264892578125,39.72027206420898,0.06499999761581421,29.85000038146973
2013-01-17,70.90803527832031,40.07097625732422,0.06499999761581421,30.13999938964844
2013-01-18,71.01803588867188,40.08766174316406,0.06499999761581421,29.65999984741211
2013-01-22,70.95033264160156,40.07931137084961,0.06499999761581421,30.729999542236328
2013-01-23,71.06036376953125,39.9624137878418,0.10705000162124634,30.81999969482422
2013-01-24,70.95879364013672,40.11271667480469,0.06499999761581421,31.07999992370605
2013-01-25,70.73030090332031,40.32146835327149,0.07000000029802322,31.540000915527344
2013-01-28,70.64568328857422,40.00415802001953,0.07000000029802322,32.470001220703125
2013-01-29,70.56953430175781,40.39661407470703,0.07000000029802322,30.790000915527344
2013-01-30,70.49334716796875,40.338157653808594,0.07000000029802322,31.239999771118164
2013-01-31,70.62030029296875,40.24630737304688,0.07000000029802322,30.979999542236328
2013-02-01,70.42185974121094,40.63875961303711,0.07000000029802322,29.729999542236328
2013-02-04,70.66777038574219,39.95405960083008,0.07000000029802322,28.11000061035156
2013-02-05,70.5490951538086,40.10436248779297,0.07000000029802322,28.63999938964844
2013-02-06,70.7186279296875,40.19620895385742,0.07000000029802322,29.04999923706055
2013-02-07,70.72711944580078,39.85386657714844,0.07000000029802322,28.649999618530273
2013-02-08,70.71015930175781,40.0459098815918,0.07000000029802322,28.54999923706055
2013-02-11,70.62539672851562,40.029212951660156,0.07000000029802322,28.26000022888184
2013-02-12,70.64232635498047,40.17116165161133,0.07000000029802322,27.3700008392334
2013-02-13,70.5490951538086,40.32146835327149,0.07000000029802322,27.90999984741211
2013-02-14,70.65084075927734,40.13776016235352,0.07000000029802322,28.5
2013-02-15,70.59146118164062,40.05426406860352,0.07000000029802322,28.31999969482422
2013-02-19,70.5660400390625,40.40496063232422,0.059999998658895486,28.93000030517578
2013-02-20,70.61692810058594,40.14610290527344,0.059999998658895486,28.459999084472656
2013-02-21,70.68475341796875,39.46142959594727,0.059999998658895486,27.28000068664551
2013-02-22,70.7186279296875,39.91231155395508,0.059999998658895486,27.1299991607666
2013-02-25,70.94755554199219,39.11907958984375,0.059999998658895486,27.270000457763672
2013-02-26,70.98152160644531,39.43637466430664,0.059999998658895486,27.38999938964844
2013-02-27,70.9645767211914,39.8789176940918,0.059999998658895486,26.8700008392334
2013-02-28,70.99847412109375,39.78706741333008,0.059999998658895486,27.25
2013-03-01,71.03755950927734,39.753665924072266,0.059999998658895486,27.78000068664551
2013-03-04,71.0205307006836,39.79541397094727,0.059999998658895486,27.71999931335449
2013-03-05,70.97811889648438,40.17951202392578,0.059999998658895486,27.520000457763672
2013-03-06,70.85913848876953,40.28805923461914,0.059999998658895486,27.45000076293945
2013-03-07,70.75721740722656,40.40496063232422,0.059999998658895486,28.57999992370605
2013-03-08,70.56184387207031,40.51350021362305,0.059999998658895486,27.959999084472656
2013-03-11,70.52783203125,40.56360244750977,0.059999998658895486,28.13999938964844
2013-03-12,70.66374206542969,40.3548583984375,0.059999998658895486,27.82999992370605
2013-03-13,70.57882690429688,40.22126007080078,0.059999998658895486,27.07999992370605
2013-03-14,70.60430145263672,40.53854751586914,0.059999998658895486,27.040000915527344
2013-03-15,70.68922424316406,40.48846435546875,0.059999998658895486,26.649999618530273
2013-03-18,70.82515716552734,40.12105941772461,0.059999998658895486,26.489999771118164
2013-03-19,70.8676528930664,39.945716857910156,0.059999998658895486,26.54999923706055
2013-03-20,70.79967498779297,40.26301193237305,0.05000000074505806,25.86000061035156
2013-03-21,70.81668853759766,39.895606994628906,0.05000000074505806,25.739999771118164
2013-03-22,70.88463592529297,40.1844482421875,0.05000000074505806,25.729999542236328
2013-03-25,70.87614440917969,39.83282470703125,0.05000000074505806,25.1299991607666
2013-03-26,70.901611328125,40.07561111450195,0.05000000074505806,25.209999084472656
2013-03-27,71.0460433959961,39.99188995361328,0.05000000074505806,26.09000015258789
2013-03-28,71.05455780029297,40.159324645996094,0.05000000074505806,25.57999992370605
2013-04-01,70.9754409790039,39.79096603393555,0.05000000074505806,25.53000068664551
2013-04-02,70.9839096069336,39.966773986816406,0.05000000074505806,25.420000076293945
2013-04-03,71.0264892578125,39.69887924194336,0.05000000074505806,26.25
2013-04-04,71.23069763183594,39.94165802001953,0.05000000074505806,27.06999969482422
2013-04-05,71.42642974853516,39.7407341003418,0.05000000074505806,27.38999938964844
2013-04-08,71.392333984375,39.7825927734375,0.05000000074505806,26.85000038146973
2013-04-09,71.3157730102539,40.0253791809082,0.05000000074505806,26.59000015258789
2013-04-10,71.17967224121094,40.58628845214844,0.05000000074505806,27.56999969482422
2013-04-11,71.2136459350586,40.76209259033203,0.05000000074505806,28.020000457763672
2013-04-12,71.38385772705078,40.56117248535156,0.05000000074505806,27.399999618530273
